year_month,compound_mean,compound_std,pos_mean,neg_mean,neu_mean,document_count
2019-03,0.4153,0.5189,0.2279,0.0961,0.6761,14
2020-01,0.2935,0.533,0.2392,0.1528,0.6082,6
2020-02,0.0379,0.7096,0.2072,0.144,0.6487,27
2020-03,0.0651,0.7993,0.2056,0.201,0.5932,5
2020-05,0.7736,0.2664,0.4282,0.0803,0.4913,52
2020-06,0.3786,0.5619,0.2694,0.1204,0.6102,139
2020-07,0.3747,0.5418,0.2815,0.1187,0.5998,85
2020-08,0.2734,0.5853,0.25,0.1457,0.6044,72
2020-09,0.2514,0.5807,0.2366,0.1355,0.6279,130
2020-10,0.3247,0.612,0.2493,0.1404,0.6104,137
2020-11,0.3203,0.6262,0.2511,0.1504,0.5985,66
2020-12,0.5028,0.5069,0.288,0.1209,0.5911,287
2021-01,0.5019,0.5341,0.3202,0.1294,0.5504,198
2021-02,0.386,0.6288,0.3352,0.1703,0.4945,76
2021-03,0.5434,0.4938,0.3379,0.1178,0.5443,101
2021-04,0.31,0.6011,0.2591,0.1407,0.6002,270
2021-05,0.466,0.5385,0.3163,0.129,0.5546,108
2021-06,0.2874,0.5813,0.254,0.1265,0.6195,75
2021-07,0.2173,0.6559,0.2759,0.1942,0.53,90
2021-08,0.2631,0.5803,0.2602,0.1563,0.5834,56
2021-09,0.3639,0.4015,0.1394,0.1017,0.7591,10
2021-10,0.3023,0.5527,0.2905,0.1591,0.5503,46
2021-11,0.3841,0.5502,0.2462,0.1234,0.6305,27
2021-12,0.7179,0.477,0.4592,0.0614,0.4792,17
2022-01,0.231,0.5292,0.2171,0.1212,0.6617,55
2022-02,0.405,0.5606,0.2865,0.1367,0.5767,24
2022-03,-0.0222,0.5832,0.2155,0.2365,0.5484,11
2022-04,0.3257,0.5802,0.2546,0.1366,0.6088,200
2022-05,0.5832,0.4554,0.3666,0.1331,0.5001,21
2022-06,-0.2474,0.7052,0.1483,0.2063,0.6452,10
2022-07,0.4756,0.5471,0.3122,0.1023,0.5855,93
2022-08,0.2677,0.5124,0.2295,0.1344,0.6361,85
2022-09,0.325,0.5705,0.2499,0.1302,0.6198,84
2022-10,0.1138,0.5951,0.1995,0.178,0.6225,84
2022-11,0.4312,0.4741,0.2577,0.0952,0.6471,71
2022-12,0.44,0.5045,0.2573,0.1141,0.6286,110
2023-01,0.1888,0.6103,0.2205,0.1651,0.6144,169
2023-02,0.2375,0.5628,0.2012,0.1167,0.6821,244
2023-03,0.2852,0.5416,0.2217,0.117,0.6612,157
2023-04,0.2681,0.57,0.1962,0.1202,0.6836,254
2023-05,0.283,0.5448,0.238,0.1319,0.6301,256
2023-06,0.3117,0.5497,0.2346,0.1237,0.6417,517
2023-07,0.29,0.596,0.2636,0.1273,0.6091,157
2023-08,0.2651,0.5685,0.2276,0.1291,0.6433,189
2023-09,0.1794,0.593,0.2184,0.1349,0.6467,49
2023-10,0.2504,0.5683,0.2311,0.1299,0.639,122
2023-11,0.2143,0.5471,0.1997,0.1172,0.683,61
2023-12,0.2211,0.5378,0.2286,0.1361,0.6353,161
2024-01,0.1725,0.5464,0.22,0.1501,0.63,118
2024-02,0.1696,0.5529,0.1859,0.1368,0.6773,136
2024-03,0.2427,0.5984,0.2384,0.1426,0.619,570
2024-04,0.2812,0.5659,0.2416,0.1354,0.6229,336
2024-05,0.2924,0.5499,0.2197,0.1205,0.6598,384
2024-06,0.3199,0.5666,0.2599,0.1246,0.6155,348
2024-07,0.3959,0.5613,0.2831,0.1183,0.5986,396
2024-08,0.1862,0.6103,0.2155,0.1557,0.6288,363
2024-09,0.4015,0.5446,0.2788,0.1185,0.6028,754
2024-10,0.3496,0.5383,0.2504,0.1236,0.6261,785
2024-11,0.3647,0.5578,0.2566,0.1242,0.6192,493
2024-12,0.3421,0.567,0.2742,0.1345,0.5913,789
2025-01,0.3574,0.5509,0.2681,0.1166,0.6153,978
2025-02,0.4264,0.5097,0.2699,0.1103,0.6198,589
2025-03,0.3696,0.5533,0.2769,0.1262,0.5969,1006
2025-04,0.2987,0.5739,0.2502,0.1278,0.622,874
2025-05,0.3532,0.5585,0.2686,0.1211,0.6102,975
2025-06,0.4036,0.5374,0.2818,0.119,0.5992,1035
2025-07,0.3184,0.5919,0.2707,0.1322,0.597,733
2025-08,0.3789,0.5574,0.2648,0.1218,0.6134,675
2025-09,0.4,0.5386,0.2743,0.1155,0.6102,495
2025-10,0.2828,0.5506,0.2148,0.1198,0.6654,5295
